ID,Scored,Area,Item,Deficiency,Criteria,H&S,Correction Timeframe,HCV Pass/Fail,HCV Correction Timeframe,Inspection Process - Observation,Inspection Process - Request for Help,Inspection Process - Action,Inspection Process - More Information,Tools or Equipment - Required,Tools or Equipment - Useful
56.1.7.3.0,,Unit,Toilet,A toilet is damaged or inoperable and at least 1 toilet is installed elsewhere that is operational.,"A toilet is damaged (i.e., visibly defective; impacts functionality) and at least 1 toilet is installed elsewhere within the Unit that is operational.
OR
A toilet is inoperable (i.e., overall system is not meeting function or purpose; with or without visible damage) and at least 1 toilet is installed elsewhere within the Unit that is operational.",Moderate,30 days,Fail,30 days,"1. Look to see if water drains from the bowl. 
2. Look to see if water refills the bowl.
3. Listen to verify that water has stopped running once the bowl is refilled.",NONE,1. Flush the toilet.,"1. In the event that a toilet was never installed by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes.
2. If multiple toilets are installed, but none are operational, then evaluate under Deficiency 1.",NONE,Flashlight
56.2.8.3.0,,Inside,Toilet,A toilet is damaged or inoperable and at least 1 toilet is installed elsewhere that is operational.,"A toilet is damaged (i.e., visibly defective; impacts functionality) and at least 1 toilet is installed elsewhere within the Inside area that is operational.
OR
A toilet is inoperable (i.e., overall system is not meeting function or purpose; with or without visible damage) and at least 1 toilet is installed elsewhere within the Inside area that is operational.",Moderate,30 days,Fail,30 days,"1. Look to see if water drains from the bowl. 
2. Look to see if water refills the bowl.
3. Listen to verify that water has stopped running once the bowl is refilled.",NONE,1. Flush the toilet.,"1. In the event that a toilet was never installed by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes.
2. If multiple toilets are installed, but none are operational, then evaluate under Deficiency 1.",NONE,Flashlight
56.1.9.3.0,,Unit,Toilet,"Toilet component is damaged, inoperable, or missing such that it may limit the resident’s ability to safely discharge human waste.","Toilet component is damaged (i.e., visibly defective; impacts functionality) such that it may limit the resident’s ability to safely discharge human waste. 
OR
Toilet component is inoperable (i.e., component is not meeting function or purpose; with or without visible damage) such that it may limit the resident’s ability to safely discharge human waste.
OR
Toilet component is missing (i.e., evidence of prior installation, but now not present or is incomplete) such that it may limit the resident’s ability to safely discharge human waste.",Moderate,30 days,Fail,30 days,"1. Identify all toilets. 
2. Visually inspect to identify any component that is damaged, inoperable, or missing.",NONE,"1. If a damaged, inoperable, or missing component is identified, determine if it limits the resident’s ability to safely discharge human waste.","1. Damaged, inoperable, or missing components that may limit the resident’s ability to safely discharge human waste may include, but are not limited to: 
- Seat
- Handle, lever, or button used for flushing
- Tank
- Bowl 
2. In the event that a toilet was never installed within the Unit by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes as they are the resident’s primary toilet.",NONE,Flashlight; Inspection mirror
56.2.10.3.0,,Inside,Toilet,"Toilet component is damaged, inoperable, or missing such that it may limit the resident’s ability to safely discharge human waste.","Toilet component is damaged (i.e., visibly defective; impacts functionality) such that it may limit the resident’s ability to safely discharge human waste. 
OR
Toilet component is inoperable (i.e., component is not meeting function or purpose; with or without visible damage) such that it may limit the resident’s ability to safely discharge human waste.
OR
Toilet component is missing (i.e., evidence of prior installation, but now not present or is incomplete) such that it may limit the resident’s ability to safely discharge human waste.",Moderate,30 days,Fail,30 days,"1. Identify all toilets. 
2. Visually inspect to identify any component that is damaged, inoperable, or missing.",NONE,"1. If a damaged, inoperable, or missing component is identified, determine if it limits the resident’s ability to safely discharge human waste.","1. Damaged, inoperable, or missing components that may limit the resident’s ability to safely discharge human waste may include, but are not limited to: 
- Seat
- Handle, lever, or button used for flushing
- Tank
- Bowl",NONE,Flashlight; Inspection mirror
56.1.11.3.0,,Unit,Toilet,Toilet is not secured at the base.,Toilet is not secured at the base.,Moderate,30 days,Fail,30 days,1. Look for evidence of seepage at the base of the toilet.,NONE,1. Apply pressure to the base of the toilet to ensure that it is securely attached to the base.,"1. In the event that a toilet was never installed by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes.",NONE,Flashlight
56.2.12.3.0,,Inside,Toilet,Toilet is not secured at the base.,Toilet is not secured at the base.,Moderate,30 days,Fail,30 days,1. Look for evidence of seepage at the base of the toilet.,NONE,1. Apply pressure to the base of the toilet to ensure that it is securely attached to the base.,"1. In the event that a toilet was never installed by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes.",NONE,Flashlight
56.1.13.3.0,,Unit,Toilet,"Toilet component is damaged, inoperable, or missing and it does not limit the resident’s ability to discharge human waste.","Toilet component is damaged (i.e., visibly defective; impacts functionality) and it does not limit the resident’s ability to safely discharge human waste. 
OR
Toilet component is inoperable (i.e., component is not meeting function or purpose; with or without visible damage) and it does not limit the resident’s ability to safely discharge human waste.
OR
Toilet component is missing (i.e., evidence of prior installation, but now not present or is incomplete) and it does not limit the resident’s ability to safely discharge human waste.",Low,60 days,Pass,N/A,"1. Identify all toilets.
2. Visually inspect to identify any component that is damaged, inoperable, or missing.",NONE,"1. If a damaged, inoperable, or missing component is identified, determine if it limits the resident’s ability to safely discharge human waste.","1. Damaged, inoperable, or missing components that do not limit the resident’s ability to safely discharge human waste may include, but are not limited to: 
- Tank lid 
- Handle, lever, or button used for flushing that is loose, but is still operable
2. In the event that a toilet was never installed within the Unit by design (e.g., in an SRO property), then the shared facilities are considered part of the Unit location for inspection purposes as they are the resident’s primary toilet.",NONE,Flashlight; Inspection mirror
56.2.14.3.0,,Inside,Toilet,"Toilet component is damaged, inoperable, or missing and it does not limit the resident’s ability to discharge human waste.","Toilet component is damaged (i.e., visibly defective; impacts functionality) and it does not limit the resident’s ability to safely discharge human waste. 
OR
Toilet component is inoperable (i.e., component is not meeting function or purpose; with or without visible damage) and it does not limit the resident’s ability to safely discharge human waste.
OR
Toilet component is missing (i.e., evidence of prior installation, but now not present or is incomplete) and it does not limit the resident’s ability to safely discharge human waste.",Low,60 days,Pass,N/A,"1. Identify all toilets.
2. Visually inspect to identify any component that is damaged, inoperable, or missing.",NONE,"1. If a damaged, inoperable, or missing component is identified, determine if it limits the resident’s ability to safely discharge human waste.","1. Damaged, inoperable, or missing components that do not limit the resident’s ability to safely discharge human waste may include, but are not limited to: 
- Tank lid 
- Handle, lever, or button used for flushing that is loose, but is still operable",NONE,Flashlight; Inspection mirror
56.1.15.3.0,Not Scored for 12 Months,Unit,Toilet,Toilet cannot be used in private.,Toilet cannot be used in private. ,Moderate,30 days,Fail,30 days,"1. Identify all toilets. 
2. Visually inspect to verify each toilet can be used in private.",NONE,NONE,"1. For the purpose of this standard, the resident should be able to use the toilet without being observed from an adjacent area or exterior space.",NONE,NONE
56.2.16.3.0,,Inside,Toilet,Toilet cannot be used in private.,Toilet cannot be used in private. ,Moderate,30 days,Fail,30 days,"1. Identify all toilets. 
2. Visually inspect to verify each toilet can be used in private.",NONE,NONE,"1. For the purpose of this standard, the resident should be able to use the toilet without being observed from an adjacent area or exterior space.",NONE,NONE
57.2.1.3.0,,Inside,Trash Chute,Chute door does not open or self-close and latch.,"Chute door does not open.
OR
Chute door does not self-close and latch.",Moderate,30 days,Fail,30 days,1. Look to see if the door closes automatically.,NONE,"1. Engage the latch and attempt to open the door. 
2. If the door opens, release the door handle.
3. Ensure the door closes by itself.
4. Attempt to open the door without engaging the latch.",NONE,NONE,NONE
57.2.2.3.0,,Inside,Trash Chute,Chute is clogged.,Trash is overflowing or backed up inside the chute.,Moderate,30 days,Fail,30 days,1. Look to see if trash is accumulated anywhere inside the chute above and below the door.,NONE,1. Open the chute door,NONE,Flashlight,NONE
58.1.1.3.0,,Unit,Trip Hazard,Trip hazard on walking surface.,"There is an abrupt change in vertical elevation or horizontal separation on any walking surface along the normal path of travel, consisting of the following criteria:
- An unintended ¾-inch or greater vertical difference.
OR 
- An unintended 2-inch or greater horizontal separation that is perpendicular to the path of travel.",Moderate,30 days,Fail,30 days,1. Look at the walking surface along the normal path of travel to identify a significant difference in vertical elevation or horizontal separation.,NONE,"1. If identified, measure to determine if there is a ¾-inch or greater vertical separation or 2-inch or greater horizontal separation.","1. Examples of conditions that should be evaluated under this deficiency include, but are not limited to:
- A service access cover that is missing and it is located along a walking surface.
- Any surface, object, or material that creates an unintended ¾-inch or greater vertical rise along the path of travel. 
- An unintended 2-inch or greater gap or space along the path of travel. 
2. Examples of conditions that should not be evaluated under this deficiency include, but are not limited to:
- An engineer-designed gap or vertical difference (e.g., a raised manhole or a plant grate designed in the middle of a path of travel). 
- An intentional transition from a walking surface to a doorway or entrance. ",Distance measuring device,NONE
58.2.2.3.0,,Inside,Trip Hazard,Trip hazard on walking surface.,"There is an abrupt change in vertical elevation or horizontal separation on any walking surface along the normal path of travel, consisting of the following criteria:
- An unintended ¾-inch or greater vertical difference.
OR 
- An unintended 2-inch or greater horizontal separation that is perpendicular to the path of travel.",Moderate,30 days,Fail,30 days,1. Look at the walking surface along the normal path of travel to identify a significant difference in vertical elevation or horizontal separation.,NONE,"1. If identified, measure to determine if there is a ¾-inch or greater vertical separation or 2-inch or greater horizontal separation.","1. Examples of conditions that should be evaluated under this deficiency include, but are not limited to:
- A service access cover that is missing and it is located along a walking surface.
- Any surface, object, or material that creates an unintended ¾-inch or greater vertical rise along the path of travel. 
- An unintended 2-inch or greater gap or space along the path of travel. 
2. Examples of conditions that should not be evaluated under this deficiency include, but are not limited to:
- An engineer-designed gap or vertical difference (e.g., a raised manhole or a plant grate designed in the middle of a path of travel). 
- An intentional transition from a walking surface to a doorway or entrance.",Distance measuring device,NONE
58.3.3.3.0,,Outside,Trip Hazard,Trip hazard on walking surface.,"There is an abrupt change in vertical elevation or horizontal separation on any walking surface along the normal path of travel, consisting of the following criteria:
- An unintended ¾-inch or greater vertical difference.
OR 
- An unintended 2-inch or greater horizontal separation that is perpendicular to the path of travel.",Moderate,30 days,Fail,30 days,1. Look at the walking surface along the normal path of travel to identify a significant difference in vertical elevation or horizontal separation.,NONE,"1. If identified, measure to determine if there is a ¾-inch or greater vertical separation or 2-inch or greater horizontal separation.","1. Examples of conditions that should be evaluated under this deficiency include, but are not limited to:
- A service access cover that is missing and it is located along a walking surface.
- Any surface, object, or material that creates an unintended ¾-inch or greater vertical rise along the path of travel. 
- An unintended 2-inch or greater gap or space along the path of travel. 
2. Examples of conditions that should not be evaluated under this deficiency include, but are not limited to:
- An engineer-designed gap or vertical difference (e.g., a raised manhole or a plant grate designed in the middle of a path of travel). 
- An intentional transition from a walking surface to a doorway or entrance.",Distance measuring device,NONE
59.1.1.3.0,,Unit,Ventilation,Exhaust system does not respond to the control switch.,Exhaust system does not respond to the control switch.,Moderate,30 days,Fail,30 days,NONE,NONE,"1. Turn on the exhaust system. 
2. Listen to hear fan activate. 
3. Turn off the exhaust system. ",NONE,NONE,NONE
59.2.2.3.0,,Inside,Ventilation,Exhaust system does not respond to the control switch.,Exhaust system does not respond to the control switch.,Moderate,30 days,Fail,30 days,NONE,NONE,"1. Turn on the exhaust system. 
2. Listen to hear fan activate. 
3. Turn off the exhaust system. ",NONE,NONE,NONE
59.1.3.3.0,,Unit,Ventilation,Exhaust system has restricted airflow.,Exhaust system is blocked such that airflow may be restricted.,Moderate,30 days,Fail,30 days,1. Visually inspect the exhaust system to identify any blockage that may restrict airflow.,NONE,NONE,NONE,NONE,Flashlight
59.2.4.3.0,,Inside,Ventilation,Exhaust system has restricted airflow.,Exhaust system is blocked such that airflow may be restricted.,Moderate,30 days,Fail,30 days,1. Visually inspect the exhaust system to identify any blockage that may restrict airflow.,NONE,NONE,NONE,NONE,Flashlight
59.1.5.3.0,,Unit,Ventilation,Exhaust system component is damaged or missing.,"Exhaust system component is damaged (i.e., visibly defective; impacts functionality). 
OR
Exhaust system component is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,1.  Visually inspect the exhaust system to identify any damaged or missing component.,NONE,NONE,"1. Examples of damaged or missing components may include, but are not limited to: 
- Fan
- Filter
- Screen 
- Duct",NONE,Flashlight
59.2.6.3.0,,Inside,Ventilation,Exhaust system component is damaged or missing.,"Exhaust system component is damaged (i.e., visibly defective; impacts functionality). 
OR
Exhaust system component is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,1.  Visually inspect the exhaust system to identify any damaged or missing component.,NONE,NONE,"1. Examples of damaged or missing components may include, but are not limited to: 
- Fan
- Filter
- Screen 
- Duct",NONE,Flashlight
59.1.7.3.0,,Unit,Ventilation,Bathroom does not have proper ventilation or dehumidification.,"Neither an exhaust fan, window, nor adequate means of ventilation or dehumidification is present and operable.",Moderate,30 days,Fail,30 days,"1. Exhaust fan: Look for the presence of an exhaust fan or vent containing a screen and a corresponding switch. 
2. Window: Look for a window that is openable from the interior.
3. Other: Look for alternate means of dehumidification.","1. If there is a vent, but no switch, ask the POA how the space is being ventilated. 
2. If the POA indicates the vent is connected to an event-activated vent (e.g., a timer) elsewhere in the building, disregard this deficiency.","1. Exhaust fan: If present, activate the switch to determine if the exhaust fan turns on and verify there is airflow. 
2. Window: If present, attempt to open the window to verify operability. 
3. Other: If present, activate other means of dehumidification to verify operability.","1. A high-rise building may have a passive or motorized central ventilation system and if there is a vent in the bathroom, this may require an alternate means of detecting airflow if otherwise undetectable. 
2. The POA is allowed to plug in an exhaust fan if it is present and unplugged.
3. Only one means of ventilation or dehumidification is required per bathroom. ",NONE,NONE
59.2.8.3.0,,Inside,Ventilation,Bathroom does not have proper ventilation or dehumidification.,"Neither an exhaust fan, window, nor adequate means of ventilation or dehumidification is present and operable.",Moderate,30 days,Fail,30 days,"1. Exhaust fan: Look for the presence of an exhaust fan or vent containing a screen and a corresponding switch. 
2. Window: Look for a window that is openable from the interior.
3. Other: Look for alternate means of dehumidification.","1. If there is a vent, but no switch, ask the POA how the space is being ventilated. 
2. If the POA indicates the vent is connected to an event-activated vent (e.g., a timer) elsewhere in the building, disregard this deficiency.","1. Exhaust fan: If present, activate the switch to determine if the exhaust fan turns on and verify there is airflow. 
2. Window: If present, attempt to open the window to verify operability. 
3. Other: If present, activate other means of dehumidification to verify operability.","1. A high-rise building may have a passive or motorized central ventilation system and if there is a vent in the bathroom, this may require an alternate means of detecting airflow if otherwise undetectable. 
2. The POA is allowed to plug in an exhaust fan if it is present and unplugged.
3. Only one means of ventilation or dehumidification is required per bathroom. ",NONE,NONE
60.3.1.3.0,,Outside,Wall - Exterior,Exterior wall covering has missing sections of at least 1 square foot per wall.,"Cumulatively, 1 square foot or more of an exterior wall covering is missing (i.e., evidence of prior installation, but now not present or is incomplete).",Moderate,30 days,Fail,30 days,"1. Approach the building and observe the exterior walls and wall coverings.
2. If no wall coverings are readily visible, look for indications that the exterior wall was designed to have, or at one time had, wall coverings (e.g., outlines, fasteners, and wall covering remnants).
3. Look at the exterior wall for signs of missing wall coverings.",NONE,1. Measure the square footage of the missing sections.,NONE,Distance measuring device,NONE
60.3.2.3.0,,Outside,Wall - Exterior,Exterior wall has peeling paint of 10 square feet or more.,"Cumulatively, there is 10 square feet or more of peeling paint on an exterior wall built after 1978.",Moderate,30 days,Fail,30 days,"1. Visually examine the exterior of the building, including the walls and wall coverings.",NONE,"1. If peeling paint is present, measure the square footage.","1. If property profile indicates the property is a target property, then evaluate under the Potential Lead-Based Paint Hazards – Visual Assessment standard.",Distance measuring device,NONE
60.3.3.3.0,,Outside,Wall - Exterior,Exterior wall component(s) is not functionally adequate.,"Exterior wall component(s) is not functionally adequate (i.e., impacts the integrity of the wall assembly or building envelope, or does not allow exterior wall to separate the accommodation inside from that outside).",Moderate,30 days,Fail,30 days,"1. Look at the exterior wall to identify any component that is not functionally adequate (i.e., impacts the integrity of the wall assembly or does not allow exterior wall to separate the accommodation inside from that outside). ",NONE,NONE,"1. Exterior wall covering or finishing should be evaluated under Deficiency 1 or Deficiency 2 of this standard. 
2. All attic or roof ventilation components should be evaluated under the Roof Assembly standard.
3. If the overall exterior wall exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard.",NONE,NONE
61.1.1.3.0,,Unit,Wall - Interior,Interior wall has a loose or detached surface covering.,Interior wall has a loose or detached surface covering.,Moderate,30 days,Fail,30 days,"1. Look at the interior wall to identify any loose or detached surface coverings (e.g., drywall, plaster, paneling)",NONE,NONE,"1. Cosmetic damage (e.g., loose wallpaper) should not be evaluated under this deficiency. ",NONE,NONE
61.2.2.3.0,,Inside,Wall - Interior,Interior wall has a loose or detached surface covering.,Interior wall has a loose or detached surface covering.,Moderate,30 days,Fail,30 days,"1. Look at the interior wall to identify any loose or detached surface coverings (e.g., drywall, plaster, paneling)",NONE,NONE,"1. Cosmetic damage (e.g., loose wallpaper) should not be evaluated under this deficiency. ",NONE,NONE
61.1.3.3.0,,Unit,Wall - Interior,Interior wall component(s) is not functionally adequate.,"Interior wall component(s) is not functionally adequate (i.e., impacts the integrity of the interior wall or does not allow interior wall to provide vertical separation between rooms or spaces).",Moderate,30 days,Fail,30 days,"1. Look at the interior wall to identify any component that is not functionally adequate (i.e., impacts the integrity of the interior wall or does not allow interior wall to provide vertical separation between rooms or spaces). ",NONE,NONE,"1. If the overall interior wall exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard.",NONE,NONE
61.2.4.3.0,,Inside,Wall - Interior,Interior wall component(s) is not functionally adequate.,"Interior wall component(s) is not functionally adequate (i.e., impacts the integrity of the interior wall or does not allow interior wall to provide vertical separation between rooms or spaces).",Moderate,30 days,Fail,30 days,"1. Look at the interior wall to identify any component that is not functionally adequate (i.e., impacts the integrity of the interior wall or does not allow interior wall to provide vertical separation between rooms or spaces).",NONE,NONE,"1. If the overall interior wall exhibits a sign of serious failure that may threaten the resident's safety, then evaluate the condition under the Structural System standard.",NONE,NONE
61.1.5.3.0,,Unit,Wall - Interior,Interior wall has a hole that is greater than 2 inches in diameter or there is an accumulation of holes that are cumulatively greater than 6 inches by 6 inches.,"A hole is greater than 2 inches in diameter. 
OR
An accumulation of holes in any one wall that are cumulatively greater than 6 inches by 6 inches.",Moderate,30 days,Fail,30 days,1. Look at the wall for the presence of a hole.,NONE,1. Measure the hole (or number of holes taken cumulatively).,NONE,Distance measuring device,NONE
61.2.6.3.0,,Inside,Wall - Interior,Interior wall has a hole that is greater than 2 inches in diameter or there is an accumulation of holes that are cumulatively greater than 6 inches by 6 inches.,"A hole is greater than 2 inches in diameter. 
OR
An accumulation of holes in any one wall that are cumulatively greater than 6 inches by 6 inches.",Moderate,30 days,Fail,30 days,1. Look at the wall for the presence of a hole.,NONE,1. Measure the hole (or number of holes taken cumulatively).,NONE,Distance measuring device,NONE
62.1.1.3.0,,Unit,Water Heater,"Temperature pressure relief (TPR) valve has an active leak or is obstructed or relief valve discharge piping is damaged, capped, has an upward slope, or is constructed of unsuitable material.","TPR valve has an active leak.
OR
TPR valve is obstructed such that the TPR valve is unable to be fully actuated. 
OR
Relief valve discharge piping is damaged (i.e., visibly defective; impacts functionality), capped, has an upward slope, or is constructed of unsuitable material.",Severe,24 hours,Fail,30 days,"1. Look at the water heater to identify the TPR valve and relief valve discharge piping.
2. Visually inspect to determine if a leak is present. 
3. Visually inspect to determine if the TPR valve is obstructed such that the TPR valve is unable to be fully actuated.
4. Visually inspect to determine if the relief valve discharge piping is damaged (i.e., visibly defective; impacts functionality), capped, has an upward slope, or is constructed of unsuitable material.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",NONE,"1. Acceptable relief valve discharge piping materials include:
- Chlorinated polyvinyl chloride (CPVC) plastic pipe/tubing 
- Copper pipe 
- Cross-linked polyethylene (PEX) plastic tubing 
- Ductile iron 
- Cross-linked polyethylene/aluminum/high-density 
- Polyethylene (PEX-AL-HDPE) pipe 
- Polyethylene (PEX-AL-PEX) pipe 
- Galvanized steel pipe 
- Polyethylene/aluminum/ polyethylene (PE-AL-PE) pipe 
- Polypropylene (PP) plastic pipe or tubing 
- Stainless steel pipe (type 304 or 316)",Distance measuring device,Flashlight; Inspection mirror
62.2.2.3.0,,Inside,Water Heater,"Temperature pressure relief (TPR) valve has an active leak or is obstructed or relief valve discharge piping is damaged, capped, has an upward slope, or is constructed of unsuitable material.","TPR valve has an active leak.
OR
TPR valve is obstructed such that the TPR valve is unable to be fully actuated. 
OR
Relief valve discharge piping is damaged (i.e., visibly defective; impacts functionality), capped, has an upward slope, or is constructed of unsuitable material.",Severe,24 hours,Fail,30 days,"1. Look at the water heater to identify the TPR valve and relief valve discharge piping.
2. Visually inspect to determine if a leak is present. 
3. Visually inspect to determine if the TPR valve is obstructed such that the TPR valve is unable to be fully actuated.
4. Visually inspect to determine if the relief valve discharge piping is damaged (i.e., visibly defective; impacts functionality), capped, has an upward slope, or is constructed of unsuitable material.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the POA.",NONE,"1. Acceptable relief valve discharge piping materials include:
- Chlorinated polyvinyl chloride (CPVC) plastic pipe/tubing 
- Copper pipe 
- Cross-linked polyethylene (PEX) plastic tubing 
- Ductile iron 
- Cross-linked polyethylene/aluminum/high-density 
- Polyethylene (PEX-AL-HDPE) pipe 
- Polyethylene (PEX-AL-PEX) pipe 
- Galvanized steel pipe 
- Polyethylene/aluminum/ polyethylene (PE-AL-PE) pipe 
- Polypropylene (PP) plastic pipe or tubing 
- Stainless steel pipe (type 304 or 316)",Distance measuring device,Flashlight; Inspection mirror
62.3.3.3.0,,Outside,Water Heater,"Temperature pressure relief (TPR) valve has an active leak or is obstructed or relief valve discharge piping is damaged, capped, has an upward slope, or is constructed of unsuitable material.","TPR valve has an active leak.
OR
TPR valve is obstructed such that the TPR valve is unable to be fully actuated. 
OR
Relief valve discharge piping is damaged (i.e., visibly defective; impacts functionality), capped, has an upward slope, or is constructed of unsuitable material.",Severe,24 hours,Fail,30 days,"1. Look at the water heater to identify the TPR valve and relief valve discharge piping.
2. Visually inspect to determine if a leak is present. 
3. Visually inspect to determine if the TPR valve is obstructed such that the TPR valve is unable to be fully actuated.
4. Visually inspect to determine if the relief valve discharge piping is damaged (i.e., visibly defective; impacts functionality), capped, has an upward slope, or is constructed of unsuitable material.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the POA.",NONE,"1. Acceptable relief valve discharge piping materials include:
- Chlorinated polyvinyl chloride (CPVC) plastic pipe/tubing 
- Copper pipe 
- Cross-linked polyethylene (PEX) plastic tubing 
- Ductile iron 
- Cross-linked polyethylene/aluminum/high-density 
- Polyethylene (PEX-AL-HDPE) pipe 
- Polyethylene (PEX-AL-PEX) pipe 
- Galvanized steel pipe 
- Polyethylene/aluminum/ polyethylene (PE-AL-PE) pipe 
- Polypropylene (PP) plastic pipe or tubing 
- Stainless steel pipe (type 304 or 316)",Distance measuring device,Flashlight; Inspection mirror
62.1.4.3.0,,Unit,Water Heater,No hot water.,Hot water does not dispense after the handle is engaged.,Severe,24 hours,Fail,30 days,NONE,NONE,"1. Turn the faucet handle to activate hot water. 
2. Feel the water coming out of the faucet to determine if it is heating up.",NONE,NONE,NONE
62.2.5.3.0,,Inside,Water Heater,No hot water.,Hot water does not dispense after the handle is engaged.,Low,60 days,Pass,N/A,NONE,NONE,"1. Turn the faucet handle to activate hot water. 
2. Feel the water coming out of the faucet to determine if it is heating up.",NONE,NONE,NONE
62.1.6.3.0,,Unit,Water Heater,The relief valve discharge piping is missing or terminates greater than 6 inches or less than 2 inches from waste receptor flood-level.,"The relief valve discharge piping is missing (i.e., evidence of prior installation, but is now not present or is incomplete).
OR
The relief valve discharge piping terminates greater than 6 inches or less than 2 inches from waste receptor flood-level.",Moderate,30 days,Fail,30 days,1. Look at the water heater to determine if the relief valve discharge piping is missing.,"1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",1. Measure the distance between the termination point of the relief valve discharge piping and the waste receptor flood-level.,"1. If the relief valve discharge piping is plumbed through the wall and the inspector is unable to the visually identify the termination point, then do not record as a deficiency.",Distance measuring device,Flashlight; Inspection mirror
62.2.7.3.0,,Inside,Water Heater,The relief valve discharge piping is missing or terminates greater than 6 inches or less than 2 inches from waste receptor flood-level.,"The relief valve discharge piping is missing (i.e., evidence of prior installation, but is now not present or is incomplete).
OR
The relief valve discharge piping terminates greater than 6 inches or less than 2 inches from waste receptor flood-level.",Moderate,30 days,Fail,30 days,1. Look at the water heater to determine if the relief valve discharge piping is missing.,"1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",1. Measure the distance between the termination point of the relief valve discharge piping and the waste receptor flood-level.,"1. If the relief valve discharge piping is plumbed through the wall and the inspector is unable to the visually identify the termination point, then do not record as a deficiency.",Distance measuring device,Flashlight; Inspection mirror
62.3.8.3.0,,Outside,Water Heater,The relief valve discharge piping is missing or terminates greater than 6 inches or less than 2 inches from waste receptor flood-level.,"The relief valve discharge piping is missing (i.e., evidence of prior installation, but is now not present or is incomplete).
OR
The relief valve discharge piping terminates greater than 6 inches or less than 2 inches from waste receptor flood-level.",Moderate,30 days,Fail,30 days,1. Look at the water heater to determine if the relief valve discharge piping is missing.,"1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",1. Measure the distance between the termination point of the relief valve discharge piping and the waste receptor flood-level.,"1. If the relief valve discharge piping is plumbed through the wall and the inspector is unable to the visually identify the termination point, then do not record as a deficiency.",Distance measuring device,Flashlight; Inspection mirror
62.1.9.3.0,,Unit,Water Heater,"Chimney or flue piping is blocked, misaligned, or missing.","Chimney or flue piping is blocked, misaligned, or missing (i.e., evidence of prior installation, but now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at fuel-fired water heaters to ensure that the flue is present and not negatively pitched. 
2. Look for holes, disconnected pieces, or misalignment at connections along the run of the flue pipe that could allow the venting of dangerous gases into the dwelling. 
3. Check taped joints to ensure that the tape is not covering a void in the flue pipe.  
4. Look at horizontal flue vent connection and confirm that there is not a negative pitch in the vent.
5. Verify supports are present on the pipe to maintain clearances and to avoid separation of joints or other damage.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",NONE,1. Metal tape is not a substitute for substandard flue vent connections.,NONE,Flashlight; Inspection mirror; Level
62.2.10.3.0,,Inside,Water Heater,"Chimney or flue piping is blocked, misaligned, or missing.","Chimney or flue piping is blocked, misaligned, or missing (i.e., evidence of prior installation, but now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at fuel-fired water heaters to ensure that the flue is present and not negatively pitched. 
2. Look for holes, disconnected pieces, or misalignment at connections along the run of the flue pipe that could allow the venting of dangerous gases into the dwelling. 
3. Check taped joints to ensure that the tape is not covering a void in the flue pipe.  
4. Look at horizontal flue vent connection and confirm that there is not a negative pitch in the vent.
5. Verify supports are present on the pipe to maintain clearances and to avoid separation of joints or other damage.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",NONE,1. Metal tape is not a substitute for substandard flue vent connections.,NONE,Flashlight; Inspection mirror; Level
62.3.11.3.0,,Outside,Water Heater,"Chimney or flue piping is blocked, misaligned, or missing.","Chimney or flue piping is blocked, misaligned, or missing (i.e., evidence of prior installation, but now not present or is incomplete).",Life-Threatening,24 hours,Fail,24 hours,"1. Look at fuel-fired water heaters to ensure that the flue is present and not negatively pitched. 
2. Look for holes, disconnected pieces, or misalignment at connections along the run of the flue pipe that could allow the venting of dangerous gases into the dwelling. 
3. Check taped joints to ensure that the tape is not covering a void in the flue pipe.  
4. Look at horizontal flue vent connection and confirm that there is not a negative pitch in the vent.
5. Verify supports are present on the pipe to maintain clearances and to avoid separation of joints or other damage.","1. If the water heater is located behind a locked door or concealed (e.g., behind an access panel), request access from the resident or POA.",NONE,1. Metal tape is not a substitute for substandard flue vent connections.,NONE,Flashlight; Inspection mirror; Level
